TERM DESCRIPTION,TERM,SESSION,SESSION DESCRIPTION,DEPARTMENT,SUBJECT,COURSE,Course+Subject,CLASS/SECTION NBR,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,PERCENT MAJORS,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WX,I,R,P,S,NY,NR,NC,OTHER,EFFECTIVE DATE
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,100,AAAD-A100,21460,AFRICAN AMERICAN DANCE COMPANY,"Rosa,Iris",12,14,4,2.748,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,100,AAAD-A100,20144,AFRICAN AMERICAN DANCE COMPANY,"Rosa,Iris",13,13,4,2.964,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,110,AAAD-A110,20145,AFRICAN AMERCN CHORAL ENSEMBLE,"McCutchen,Keith D.",6,7,3.783,3.104,14.3,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,110,AAAD-A110,21461,AFRICAN AMERCN CHORAL ENSEMBLE,"Wise,Raymond",5,8,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,112,AAAD-A112,29209,BLACK MUSIC OF TWO WORLDS,"Burnim,Mellonee Victoria",19,22,2.368,2.702,0,0,0,0,1,4,4,3,3,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,120,AAAD-A120,20146,SOUL REVUE,"Mahluli,Nathanael Fareed",17,17,3.982,2.918,0,6,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,120,AAAD-A120,21462,SOUL REVUE,"Sykes,Charles Evans",13,14,3.862,3.073,0,0,7,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,131,AAAD-A131,28136,EARLY AAAD LITERATURE,"Smith,April Faye",16,31,3.481,2.919,0,3,3,3,3,2,1,0,1,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,132,AAAD-A132,29968,RECENT AAAD LITERATURE,"McElroy,Frederick L.",23,31,3.491,2.795,0,0,8,4,6,3,1,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,150,AAAD-A150,21464,SURV CULTR OF BLACK AMERICANS,"McElroy,Frederick L.",135,154,3.15,2.937,1.4,7,30,16,20,26,5,15,8,4,2,0,1,1,7,12,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,150,AAAD-A150,20152,SURV CULTR OF BLACK AMERICANS,"McElroy,Frederick L.",148,169,3.415,3.055,0,14,44,29,22,18,6,4,5,2,0,0,1,3,6,15,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,169,AAAD-A169,29550,INTRO TO AFRICAN AMERICAN LIT,"Grim,Valerie",33,37,3.739,2.729,5.7,11,12,3,1,4,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,8W2,Eight Week - Second,AAAD,AAAD-A,205,AAAD-A205,34343,BLACK ELECTORAL POLITICS,"Stanfield,John H.",12,21,2.608,2.456,6.3,2,1,0,1,4,0,0,2,0,0,0,0,2,2,5,2,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,210,AAAD-A210,22831,BLACK WOMEN IN THE DIASPORA,"McCluskey,Audrey T.",30,38,2.933,2.756,0,0,1,6,8,6,4,2,1,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,8W2,Eight Week - Second,AAAD,AAAD-A,221,AAAD-A221,24239,DANCE IN THE AFRICAN DIASPORA,"Rosa,Iris",26,43,3.542,3.139,0,13,4,2,1,2,1,0,1,1,0,1,0,0,1,16,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,8W2,Eight Week - Second,AAAD,AAAD-A,263,AAAD-A263,36372,CONTEMP SOC ISS-AFR AMER COMM,"Williams,Vernon",31,34,3.497,2.607,6.3,1,15,5,3,2,0,1,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,264,AAAD-A264,22833,HIST SPORT&AFRO-AMERICAN EXPER,"Sailes,Gary A.",166,180,3.217,2.837,0,5,37,25,35,35,10,4,3,3,0,5,1,3,5,9,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,265,AAAD-A265,20157,MODRN SPORTS & AFRO-AMER EXPER,"Sailes,Gary A.",170,187,3.366,2.833,0.6,11,59,12,20,43,7,2,11,3,1,1,0,0,8,7,1,0,1,0,0,0,0,0,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,278,AAAD-A278,26363,CONTEMPORARY BLACK FILM,"Smith,April Faye",25,40,3.5,2.918,3.3,8,7,4,0,2,1,0,2,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,6/8/2012
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,290,AAAD-A290,31942,SOCIOCLTRL PERSP-AFR AMER MUS,"Cohen,Judah M",14,20,3.286,3.086,6.7,0,3,2,3,4,1,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,295,AAAD-A295,30137,SURVEY OF HIP HOP,"Orejuela,Fernando",74,92,3.226,2.912,2.5,8,9,15,11,15,4,6,4,0,1,0,0,1,6,12,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,8W2,Eight Week - Second,AAAD,AAAD-A,297,AAAD-A297,34825,POPULAR MUSIC OF BLACK AMERICA,"Maultsby,Portia K.",9,20,2.067,2.258,0,0,1,0,0,2,0,1,2,0,1,1,0,1,3,7,1,0,0,0,0,0,0,0,6/8/2012
Spring 2012,4122,8W2,Eight Week - Second,AAAD,AAAD-A,299,AAAD-A299,36373,SPEC TPC ARTS&HUMANITIES AAADS,"Horsley,Marsha Nicole",21,27,3.257,2.628,0,3,5,4,3,1,1,1,1,1,0,0,0,1,2,4,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,8W2,Eight Week - Second,AAAD,AAAD-A,299,AAAD-A299,34614,SPEC TPC ARTS&HUMANITIES AAADS,"Horton-Stallings,Lamonda",14,22,3.257,2.972,0,0,4,1,5,0,2,1,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,304,AAAD-A304,33343,BLACK PARIS,"Julien,Eileen",4,6,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,350,AAAD-A350,29553,BLACK ATLANTIC,"Williams,Vernon",28,29,3.211,2.771,10.7,3,4,6,3,3,4,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,355,AAAD-A355,21465,AFRICAN-AMERICAN HISTORY I,"Grim,Valerie",29,36,2.707,2.644,0,0,3,1,3,9,3,4,3,0,2,0,0,1,3,3,1,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,356,AAAD-A356,20174,AFRICAN-AMERICAN HISTORY II,"Williams,Vernon",52,55,3.365,2.949,7.5,0,19,6,10,7,4,1,4,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,379,AAAD-A379,21466,EARLY BLACK AMERICAN WRITING,"McElroy,Frederick L.",34,40,3.576,2.921,8.3,0,8,11,13,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,380,AAAD-A380,23344,CONTEMP BLACK AMER WRITING,"Muyumba,Walton",17,25,2.841,2.928,9.5,0,2,6,1,0,3,0,1,1,0,3,0,0,4,4,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,AAAD,AAAD-A,393,AAAD-A393,26808,HISTORY OF JAZZ,"Baker,David N.",33,35,2.821,2.886,3,8,3,4,2,2,1,1,5,0,2,2,3,0,0,2,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,AAAD,AAAD-A,395,AAAD-A395,27599,CONTEMPORARY JAZZ & SOUL MUSIC,"Baker,David N.",34,39,3.659,2.999,5.7,20,5,1,3,0,2,0,1,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,8W2,Eight Week - Second,AAAD,AAAD-A,399,AAAD-A399,37307,ADV TPCS ARTS&HUMANITIES AAADS,"McCluskey,Audrey T.",14,18,2.586,2.735,6.3,0,2,1,4,3,0,1,0,0,0,0,0,3,1,2,0,0,1,0,0,0,0,0,1/18/2013
